Population,Population_code,Continent,Latitude,Longitude
"Budapest, Hungary",BDA,EU,47.5236,19.0381
"La Bernerie en Retz, France",BER,EU,47.0886,-2.0281
"Brezje, Slovenia",BZE,EU,45.8255,15.256
"Cegled, Hungary",CEG,EU,47.1835,19.8066
"Créon, France",CRE2,EU,44.7699,-0.3454
"Denmark-site 5, Langeland Island",DK5,EU,54.8995,10.758
"Denmark-site 7, Fyn Island",DK7,EU,55.1246,10.2125
"Eger, Hungary",EGR,EU,47.8994,20.3802
"Gap, France",GAP,EU,44.553,6.0352
"Goda, Germany",GODA,EU,51.2282,14.3253
"Kiskunfelegyhaza, Hungary",KIS,EU,46.6911,19.8066
"Lausanne, Switzerland",LAU,EU,46.5166,6.5952
"Mainz, Germany",MAI,EU,49.9951,8.2681
"Montereau-Fault-Yonne, France",MON,EU,48.4232,2.9385
"Oseja de Sajambre, Spain",OSE1,EU,43.1413,-5.037
"Postojna, Slovenia",PJA,EU,45.7751,14.2128
"Plzen, Czech Republic",PLZ,EU,49.7462,13.3867
"Prague, Czech Republic",PRG,EU,50.1304,14.3969
"Porto, Portugal",PRT,EU,41.153,-8.5936
"Rodomouls, France",ROD,EU,43.4707,2.8518
"Rosia, Italy",ROS,EU,43.2465,11.2112
"Ruzomberok, Slovakia",RUZ,EU,49.0863,19.3067
"Salhouse, England",SAL,EU,52.6747,1.4321
"San Gimignano, Italy",SG,EU,43.4614,11.0345
"St. Valentin, Austria",SVL1,EU,48.1869,14.5181
"University of Lausanne, Switzerland",UNILL,EU,46.5228,6.5773
"Zagreb, Croatia",ZAG,EU,45.8125,15.9785